Raman Shift,Paracetamol,Paracetamol,Paracetamol,Paracetamol,Paracetamol,Paracetamol,Paracetamol,Paracetamol,Paracetamol,Paracetamol,Paracetamol,Paracetamol,Paracetamol,Paracetamol,Paracetamol,Paracetamol,Paracetamol,Paracetamol,Paracetamol,Paracetamol,Paracetamol,Paracetamol,Paracetamol,Paracetamol,Paracetamol,Paracetamol,Paracetamol,Paracetamol,Paracetamol,Paracetamol,Paracetamol,Paracetamol,Paracetamol,Paracetamol,Paracetamol,Paracetamol,Paracetamol,Paracetamol,Paracetamol,Paracetamol,Paracetamol,Paracetamol,Paracetamol,Paracetamol,Paracetamol,Paracetamol,Paracetamol,Paracetamol,Paracetamol,Paracetamol
174.42,19278.68,15080,13326.22,13642.68,17063,12993.1,14307.7,11815.6,13427.6,14007.68,19400.2,16941.5,19467.5,21076.6,20193.5,16717.6,16589,15972.5,16681.8,13268.02,17138.5,17543.9,17119.1,17176.3,17324.1,18247.4,14385.6,12206,11015.2,16263.42,11142.7,13385.6,17364.6,14769.5,14104.3,14796.6,11851,13398.4,13927.5,13599.32,15282.6,11468.8,16493.2,16064.8,16385.5,18818.9,21266.7,18903.5,16003,12861.36
176.79,18783.86,14295.9,12725.58,13012.4,16191.2,12422.8,13654.6,11276.8,12807.2,13313.22,18602,16081.3,18446.5,19932,19416.2,15991.5,15804.8,15232.2,15843.1,12628.08,16442.1,16813.4,16459.5,16365.8,16380.2,17470.3,13717.9,11720.3,10531.2,15514.96,10695.1,12728.8,16467.6,14197.8,13412.1,14164.3,11278.2,12724.5,13378,12990.04,14428.8,10925.5,15720.9,15260.6,15570.7,17817.6,20178.8,18048.7,15396.9,12200.2
179.15,18364.66,13693.92,12137.3,12521.92,15637.4,11948.9,13248.9,10803.5,12329.4,12754.1,17848.2,15386.8,17741.1,19170.7,18518.2,15315,15245.2,14682.1,15261,12093.88,15812.1,16183.8,15839.8,15828,15736.7,16774.4,13156.8,11167,10157.7,14948.2,10220.8,12387.4,15695.5,13498,12851,13633,10856.4,12284.2,12909.4,12457.48,13859.5,10435.6,15047,14618.1,14866.5,17218.3,19431.6,17396.8,14815.6,11726.54
181.52,18263.12,13461.06,11960.04,12280.02,15286.8,11916.3,12979.6,10617.2,12173.9,12569.76,17505.1,15171.4,17440.7,18780.8,18166.7,15018.9,14938.2,14478.8,15051.7,11843.7,15715.4,15941.6,15462,15637.4,15571.7,16556.9,13031.5,11048.1,10079.8,14690.2,10127.8,12169.6,15555.7,13317.4,12656.4,13401.9,10686.7,12215.3,12710.5,12271.62,13581.1,10347.9,14798,14439.8,14828.5,16917,19045.5,17074,14661.3,11521.52
183.88,18048.32,13262.24,11732.1,12092.52,15107.8,11710.6,12837,10517.4,11991.5,12409.76,17096.7,14918.7,17065.1,18434.1,17942.5,14835.2,14689.1,14289.6,14788.8,11658.88,15443.1,15699.1,15369.6,15441.1,15344.3,16231.4,12752.5,10897.3,9923.5,14493.86,10064.8,11943.3,15228.5,13190.9,12380.6,13261,10576.5,12114.3,12582.5,12083.96,13420.4,10231.6,14501.7,14280.8,14411.2,16530.4,18766.4,16810.9,14353.6,11347.34
186.24,17994.88,13220.6,11735.62,12111.78,15096.2,11732,12873.3,10575.5,11984.9,12380.74,17174.3,14845.7,17035.9,18408.7,17818.2,14773.9,14748.8,14223.7,14726.2,11622.76,15467.3,15739.6,15361.8,15372.7,15389.5,16247.8,12891.6,10823,9863.2,14444.86,9937.2,11920.4,15235.7,13166.5,12389.4,13190.8,10518.5,11981.3,12556.3,12051.04,13416.7,10200.4,14654.1,14246,14369.9,16618.4,18825.9,16878.2,14342.8,11344
188.61,18333.06,13702.96,12108.96,12486.14,15710.7,12083.1,13290.3,10813,12309.7,12812.86,17627.8,15345,17541.5,18949.5,18350.5,15223,15187.3,14664.7,15282.7,12017.64,15836,16206.6,15754,15829.5,15909,16653.6,13232,11012.1,10117.7,14856.14,10275.6,12281.2,15724.5,13489.2,12774.5,13676.5,10887.3,12457.7,12952.2,12396.2,13925.4,10531.8,14962.4,14655.6,14866,17261.3,19550,17320.1,14785.5,11714.96
190.97,18708.28,14414.08,12745.58,13197.9,16628.5,12723.5,14012.2,11401.3,13003.9,13477.48,18510,16111.8,18382.2,20027.3,19240.5,16080.8,15981.5,15368,16047.1,12731.48,16614.1,16898.5,16525.5,16595.3,16687.8,17695,14010.6,11618.3,10658.1,15530,10850.7,12859.4,16550.3,14174.2,13459.4,14305.5,11467.5,13015.4,13640.8,13035.94,14565.5,11061.6,15822.4,15453.3,15782.2,18225.8,20431.2,18380.9,15561,12382.5
193.33,19930.3,15929.34,14025.12,14525.8,18403.3,13873.1,15435.9,12491.1,14298.8,14865.64,20325,17650.2,20248.2,21981.7,21282.7,17653.7,17574.3,16674.1,17683.4,14061.2,18207.5,18420.5,18147.9,18066.2,18247.1,19396.2,15291.3,12657.3,11717.1,16986.64,11847.5,14101.9,18226,15504.1,14847.5,15745.3,12680.3,14180.1,14941.6,14341.56,15904.3,11940.1,17199.7,17103.1,17305.5,19936.2,22617.5,20107.2,17050.7,13654.6
195.69,20796.68,17327.64,15211.36,15742.72,20011.4,14851.5,16669.5,13521.4,15547.4,16149.14,21984.8,19111,21949.3,23961.2,23203.8,19150.6,19119.5,17988.2,19153.7,15264.98,19648.9,19840.4,19710.4,19350.1,19834.5,20994.7,16464.2,13558.6,12645.7,18295.58,12752.4,15131.7,19784.4,16800.6,16159.4,17018.7,13605.1,15371.5,16177.2,15454.02,17531,12958.8,18642,18658.1,18842.9,21856,24602.8,21929.8,18354.1,14784.54
198.04,21860.1,18881.26,16472,17065.26,21769.7,15956.3,17946.1,14631.6,16648.4,17547.12,24029.7,20766.4,23728.6,26171.8,25144,20675.5,20814.7,19395.8,20711.8,16624.12,21242.9,21409.6,21377.9,20900.5,21429,22728.5,17975.3,14509.1,13672.8,19756.02,13855.1,16433.2,21439,18127.9,17537.1,18352.7,14758.4,16502.4,17449.4,16719.96,18946.4,14017.6,20149.9,20239.3,20504.6,23730.1,26804.8,23715.2,19649.4,16056.86
200.4,22704.26,20116.18,17508.92,18115.76,23030,16884.8,18983.1,15537,17573.5,18622.6,25479.1,22097.6,25090.7,27768.2,26692.8,22042.4,22008.7,20310.5,22086.4,17685.2,22275.8,22603.4,22661.2,22104.7,22840.2,24214.8,18956,15331.8,14462.2,20828.76,14627.2,17332,22740.5,19153,18632.8,19478.3,15603.1,17475,18372.7,17746.6,20256.4,14673.8,21346.5,21323.8,21736.6,25413.2,28518.1,25082.3,20745.8,17014.32
202.76,23573.78,21357.02,18523.32,19291.6,24429,17846.8,20312.9,16450.5,18791.2,19790.72,26945.8,23307,26674,29577.3,28587.6,23456,23501.1,21456.5,23284.6,18798.26,23621.6,23923.3,23988.5,23349.8,24163.9,25626.1,20138.8,16155.7,15253,22079.1,15482.1,18438,24278.1,20238.5,19878.4,20662.9,16663.4,18457.4,19694.9,18748.62,21475.3,15702.8,22830.9,22728.8,23156.3,27007.2,30403.1,26676.3,22054.8,18119.26
205.11,25216.12,23870.18,20693.12,21583.72,27800.5,19880.7,22862.9,18488.1,21061.8,22167.82,30294.5,26106.1,29765.3,33056.6,32025,26041.1,26386.1,23903.2,26121.3,21052.52,26291.2,26722.9,26900.2,25802.4,26928.4,28750.3,22624.3,17905.3,17056.1,24423.24,17340.9,20640.2,27090.4,22668,22270.9,23118.4,18615.8,20685.2,21913.5,20914.14,24153.9,17419.9,25438.1,25487.7,25957.4,30396.7,34399.5,30282.4,24590.5,20302.44
207.46,27993.9,27872.9,24016.46,25069.8,32647.7,22707,26400.7,21505.5,24367,25881.96,35234.8,30133.8,34718.9,38762.9,37460.7,30564.2,30829.5,27545.8,30532.5,24570.38,30555,30847.7,31310.2,29872.2,31602.5,33432.2,26069,20728.5,19704.2,28206.9,19982.2,23619.1,31574.7,26243.3,25827,26992.2,21563,23846.8,25383.1,24193.34,28175,20071.6,29421.9,29797.2,30328.6,35556.9,40002.3,35220.1,28281.7,23593.26
209.82,30296.08,31350.3,26822.16,27865.56,36185.7,24914.6,29185.1,23792.6,26955.7,28868.26,39504.3,34023.1,38753.7,43356.5,41823.8,34226,34413.4,30222.3,33932,27506.54,33687.3,34288.9,34884.2,33072.9,35204.4,37331.4,28976.5,22679.6,21704.3,31333.34,21953.1,26188,35325.7,29004.2,28871.6,29665.5,23912.7,26188.5,27900.4,26906.6,31461.6,22090.1,32985.3,33209.5,33768.5,39700.5,44675.9,39131.2,31083.1,26289.78
212.17,31239.34,32590.8,27845.8,28732.46,37089.9,25283.6,29692.4,24196.7,27353.4,29884.34,40886.2,35329.1,40262.5,45230,43436.4,35216.6,35336,31245.5,34908.2,28611.48,34696.4,35140.1,36082.9,33815,36237.8,38504.4,29901.9,23132,22356.3,32621.34,22544.9,26890.2,36232.6,29577.7,29707.4,30393.4,24460.1,26679.7,28583.1,27786.38,32623.1,22607.7,33674.2,34158,34598.5,40804.7,45845.2,40102.1,31791.3,26997.04
214.52,29879.74,30284.4,25920.1,26640.26,33791.9,23329.4,27303,22248.5,25258.6,27655.3,38424.3,33163.1,37629,42364.1,40313.9,32541.4,32702,28985.1,32152.5,26555.36,32182.5,32440.3,33363.8,31358.2,33336.1,35593.3,27567.1,21613.7,20756.7,30363.8,20936.6,24784.7,33395.4,27254.9,27356.3,27914.8,22545,24559.9,26194.4,25845.48,30251.6,20946.4,31259.9,31290,31920.3,37573.7,42370.5,36860.5,29291.8,24959.1
216.87,26722.64,25639.84,22126.96,22616.28,28341.3,19926.6,23215.4,18945.1,21325.2,23469.58,32481.9,28087,32098.3,35861.9,34263.3,27648.4,27645.7,24984.1,27255.5,22611.18,27285.6,27667.7,28097.5,26799.9,28352.1,30085.1,23423.9,18602.6,17711.1,26006.12,17951.9,21304.3,28216.5,23213.1,23188.1,23741.7,19139.4,21052.9,22297.8,22105.48,25545.1,17981.1,26485.1,26499.2,26923.5,31765,35666.8,31059.1,24915.5,21144.86
219.22,23340.2,20971.58,18167.38,18550.32,23112.8,16656.9,19088.4,15549.5,17709.3,19204.16,26545.7,23112.6,26272,29279,27762.1,22555.3,22543.5,20769.5,22430.5,18419.26,22494.1,23059.8,23092.2,22288.4,23157.7,24683.2,19312.6,15495,14626,21551.12,14796.2,17524.4,23064.9,19230,19009.2,19644,15646.3,17450.9,18438.8,18259.72,20875.7,14906,21697.3,21609,21993.3,25732.1,28808.9,25257,20660.3,17342.88
221.56,21215.82,17682.9,15415.86,15704.44,19611.9,14339.5,16256.4,13233.1,15102,16236.6,22494.8,19500.3,22330.3,24381.3,23368.3,19274.4,19008.5,17935.7,18940.9,15578.88,19441.7,19843.7,19660.6,19240.3,19746.6,20980.5,16477.5,13368.7,12584.6,18548,12655,15068.9,19465.8,16479.4,15975.8,16770.6,13401.4,14942.6,15854,15567.1,17598.3,12891.7,18561.8,18306.1,18536.5,21715.9,24319.1,21489.3,17816,14724.38
223.91,19381.5,14890.66,13074,13333.48,16575.5,12512.3,13866.1,11279.8,12922.3,13708.64,19110.7,16508.9,18950.6,20685,19812.3,16299.7,16159.2,15454.3,16151.6,13102.94,16782.5,17077.7,16787.1,16476.9,16745.6,17885.5,14107.7,11520,10644.6,15942.12,10869.9,12972.3,16625.2,14083.6,13616.4,14285.2,11466.1,12890.2,13440.7,13267.98,14805.5,11051.3,15727.2,15555.6,15800.4,18169.3,20552.9,18262.2,15280.6,12477.88
226.25,17877.62,12778.7,11343.28,11565,14363.1,11137.7,12094.8,9786.4,11416.2,11857.14,16521.5,14514.7,16519.6,17794.4,17177.2,14115.1,14108.1,13694.7,14033,11307.68,14758.8,15000.7,14598.9,14637.6,14675.6,15379.1,12217.1,10226,9386.2,13981.96,9547.1,11355.8,14400.1,12391.7,11781,12488.2,10048.3,11346.5,11844,11519.06,12877.1,9705.2,13775.2,13464.5,13604.3,15785.4,17744.8,15969,13611.5,10844.12
228.6,16808.24,11273.9,10024.58,10238.04,12727.9,10048.7,10827.1,8781.3,10083.1,10492.74,14732.1,12702.6,14682.7,15741,15073.3,12475.2,12415.5,12386.2,12556.3,9938.3,13276,13473.3,13061.7,13233.1,12984.8,13828.4,10941.2,9234.8,8399.8,12538.1,8508.6,10092.5,12724,11067.9,10411.4,11129,8901.7,10132.4,10587,10303.48,11370.3,8688.1,12280.7,11963.1,12023.1,13922.8,15716.6,14082.6,12167.8,9608
230.94,15966.3,10147.72,9085.28,9214.22,11521.5,9271.3,9862.3,8031.2,9195.4,9427.08,13328.6,11531.2,13314.9,14086.9,13645.6,11365.5,11139.9,11315,11339.5,8919.9,12191.1,12279.2,11818.2,12155.7,11807.1,12525.7,9872.4,8371.7,7703.5,11473.76,7749.8,9284.8,11516.6,10105.4,9342.9,10102.3,8202,9306.9,9622,9330.2,10123.5,8001.3,11115.2,10704.1,10870.9,12494.7,14075.9,12761.6,11223.6,8683.62
233.28,15398.08,9318.8,8367.06,8510.48,10539.9,8670.8,9111.3,7395.6,8457.6,8687.8,12298.6,10637.6,12278.4,12929.3,12549,10458,10239.4,10521,10435.4,8163.88,11337.2,11464,10884,11304.4,10962.4,11542.3,9139,7905.1,7149.7,10692.6,7265.8,8634.7,10714.5,9424.1,8668.9,9412.9,7549.9,8734.4,8966.1,8663.38,9389.9,7407.7,10301.2,9961.9,9962,11478.7,13082.6,11786.9,10423,8000.2
235.63,15036.48,8687.98,7825.66,7966.78,9947.4,8254.9,8623.6,6964.2,8052.3,8148.2,11453.9,9920.7,11585.9,12126.6,11699.8,9826.4,9620.2,10015.3,9848.5,7655.42,10731,10899.3,10215.3,10778.5,10259.1,10866.4,8566.7,7519.3,6781.7,10156.06,6827.9,8150.1,9961.4,8857.5,8121.8,8899,7143.9,8285,8516.1,8124,8753.5,7048.2,9761.3,9333.6,9326.5,10714.6,12204.1,11064.6,9855,7501.34
237.97,14585.82,8084.98,7344.68,7497.44,9240.4,7853.3,8107.8,6479.8,7621.5,7607.12,10771.9,9323.6,10831.2,11346.5,10939.4,9139.3,9029.9,9593,9327.1,7131.8,10149.9,10276.6,9656.6,10169.8,9650.4,10177.3,8046.4,7169,6391.8,9532.12,6461.4,7685.3,9330.1,8414.2,7580.4,8327.6,6639.7,7796.6,7949.3,7648.14,8211.1,6693,9160,8752.5,8759.9,10101.6,11415.6,10363.9,9368.6,7039.9
